disability,discapacidad,andikap,Behinderung,invalidité,عجز,무능,инвалидность
disagree,discrepar,pa dakò,verschiedener Meinung sein,être en désaccord,تعارض,동의하지 않는다,не согласен
disappear,desaparecer,disparèt,verschwinden,disparaître,يختفي,사라지다,пропадать
disaster,desastre,dezas,Katastrophe,catastrophe,كارثة,재해,катастрофа
discipline,disciplina,disiplin,Disziplin,discipline,تأديب,규율,дисциплина
discourse,discurso,diskou,Diskurs,discours,الحوار,담화,дискурс
discover,descubrir,dekouvri,entdecken,découvrir,يكتشف,발견하다,обнаружить
discovery,descubrimiento,dekouvèt,Entdeckung,Découverte,اكتشاف,발견,открытие
discrimination,discriminación,diskriminasyon,Diskriminierung,discrimination,تمييز,차별,дискриминация
discuss,conversar,diskite,diskutieren,discuter,يناقش,논의하다,обсуждать
discussion,discusión,diskisyon,Diskussion,discussion,مناقشة,논의,обсуждение
disease,enfermedad,maladi,Krankheit,maladie,مرض,질병,болезнь
dish,plato,plat,Gericht,plat,طبق,접시,блюдо
dismiss,despedir,ranvwaye,zurückweisen,rejeter,رفض,해고하다,увольнять
disorder,trastorno,dezòd,Störung,désordre,اضطراب,무질서,беспорядок
display,mostrar,ekspozisyon,Anzeige,afficher,عرض,표시하다,отображать
dispute,disputar,diskisyon,Disput,différend,ينازع,논쟁,спор
distance,distancia,distans,Distanz,distance,مسافة,거리,расстояние
distant,distante,byen lwen,entfernt,loin,بعيد,먼,далекий
distinct,distinto,diferan,unterscheidbar,distinct,متميز,별개의,отчетливый
distinction,distinción,distenksyon,Unterscheidung,distinction,امتياز,구별,различие
distinguish,distinguir,distenge,unterscheiden,distinguer,يميز,구별하다,различать
distribute,distribuir,distribye,verteilen,distribuer,نشر,분배하다,распространять
distribution,distribución,distribisyon,Verteilung,distribution,توزيع,분포,распределение
district,distrito,distri,Bezirk,district,يصرف,구역,округ
diverse,diverso,divès,vielfältig,divers,متنوع,다양한,разнообразный
diversity,diversidad,divèsite,Diversität,diversité,تنوع,다양성,разнообразие
divide,dividir,divize,teilen,diviser,يقسم,나누다,разделять
division,división,divizyon,Aufteilung,division,قسم,분할,разделение
divorce,divorcio,divòs,Scheidung,divorce,الطلاق,이혼,развод
DNA,ADN,ADN,DNA,ADN,الحمض النووي,DNA,ДНК
do,hacer,fè,Tun,faire,يفعل,하다,делать
doctor,doctor,doktè,Arzt,médecin,طبيب,의사,врач
document,documento,dokiman,dokumentieren,document,وثيقة,문서,документ
dog,perro,chen,Hund,chien,كلب,개,собака
domestic,doméstico,domestik,inländisch,domestique,محلي,국내의,одомашненный
dominant,dominante,dominan,Dominant,dominant,مسيطر,우성,доминирующий
dominate,dominar,domine,dominieren,dominer,تسيطر,빼어나게 솟다,доминировать
door,puerta,pòt,Tür,porte,باب,문,дверь
double,doble,doub,doppelt,double,مزدوج,더블,двойной
doubt,duda,dout,zweifeln,doute,شك,의심,сомневаться
down,abajo,desann,runter,vers le bas,تحت,아래에,вниз
downtown,centro,anba lavil,Innenstadt,centre ville,وسط البلد,도심,центр города
dozen,docena,douzèn,Dutzend,douzaine,دزينة,다스,дюжина
draft,borrador,bouyon,Entwurf,brouillon,مسودة,초안,черновик
drag,arrastrar,trennen,ziehen,traîner,يجر,견인,тащить
drama,drama,dram,Theater,drame,دراما,드라마,драма
dramatic,dramático,dramatik,dramatisch,spectaculaire,دراماتيكي,극적인,драматический
dramatically,dramáticamente,dramatikman,dramatisch,dramatiquement,بشكل كبير,극적으로,резко
draw,dibujar,trase,ziehen,dessiner,يرسم,그리다,рисовать
drawing,dibujo,desen,Zeichnung,dessin,رسم,그림,рисунок
dream,sueño,rèv,Traum,rêve,حلم,꿈,мечтать
dress,vestido,abiye,Kleid,robe,فستان,드레스,одеваться
drink,beber,bwè,trinken,boire,يشرب,마시다,напиток
drive,conducir,kondwi,fahren,conduire,يقود,운전하다,водить машину
driver,conductor,chofè,Treiber,conducteur,سائق,운전사,Водитель
drop,gota,gout,fallen,baisse,يسقط,떨어지다,уронить
drug,droga,dwòg,Arzneimittel,médicament,دواء,의약품,лекарство
dry,seco,sèk,trocken,sec,جاف,마른,сухой
due,pendiente,akòz,fällig,exigible,حق,~로 인한,должный
during,durante,pandan,während,pendant,خلال,~ 동안,в течение
dust,polvo,pousyè,Staub,poussière,تراب,먼지,пыль
duty,deber,devwa,Pflicht,devoir,واجب,의무,долг
each,cada,chak,jede,chaque,كل,각,каждый
eager,ansioso,anvi,erpicht,désireux,مشتاق,열렬한,жаждущий
ear,oreja,zòrèy,Ohr,oreille,أذن,귀,ухо
early,temprano,bonè,früh,tôt,مبكر,일찍,рано
earn,ganar,touche,verdienen,gagner,يكسب,벌다,зарабатывать
earnings,ganancias,salè,Verdienste,gains,الأرباح,수입,заработок
earth,tierra,latè,Erde,Terre,أرض,지구,земля
ease,facilidad,fasilite,Leichtigkeit,facilité,يُسَهّل,쉬움,простота
easily,fácilmente,fasil,leicht,facilement,بسهولة,용이하게,легко
east,este,bò solèy leve,Ost,est,شرق,동쪽,восток
eastern,oriental,lès,östlich,est,شرقية,동부,восточный
easy,fácil,fasil,einfach,facile,سهل,쉬운,легкий
eat,comer,manje,essen,manger,يأكل,먹다,есть
economic,económico,ekonomik,wirtschaftlich,économique,اقتصادي,간결한,экономический
economics,ciencias económicas,ekonomi,Wirtschaft,économie,اقتصاديات,경제학,экономика
economist,economista,ekonomis,Ökonom,économiste,خبير اقتصادي,경제학자,экономист
economy,economía,ekonomi,Wirtschaft,économie,اقتصاد,경제,экономика
edge,borde,kwen,Rand,bord,حافة,가장자리,край
edition,edición,edisyon,Auflage,édition,الإصدار,판,версия
editor,editor,editè,Editor,éditeur,محرر,편집자,редактор
educate,educar,edike,erziehen,éduquer,تعليم,기르다,обучать
education,educación,edikasyon,Ausbildung,éducation,تعليم,교육,образование
educational,educativo,edikatif,lehrreich,éducatif,التعليمية,교육적인,образовательный
educator,educador,edikatè,Erzieher,éducateur,مربي,교육자,педагог
effect,efecto,efè,Wirkung,effet,تأثير,효과,эффект
effective,eficaz,efikas,Wirksam,efficace,فعال,효과적인,эффективный
effectively,efectivamente,efektivman,effektiv,effectivement,على نحو فعال,효과적으로,эффективно
efficiency,eficiencia,efikasite,Effizienz,efficacité,كفاءة,능률,эффективность
efficient,eficiente,efikas,effizient,efficace,فعال,효율적인,эффективный
effort,esfuerzo,efò,Bemühung,effort,جهد,노력,усилие
egg,huevo,ze,Ei,œuf,بيضة,계란,яйцо
eight,ocho,uit,acht,huit,ثمانية,여덟,восемь
either,cualquiera,swa,entweder,soit,أيضاً,어느 하나,или
elderly,anciano,granmoun aje,Alten,âgé,كبير,연세가 드신,пожилой
elect,electo,eli,wählen,élire,المنتخب,선택된,выбирать
election,elección,eleksyon,Wahl,élection,انتخاب,선거,выборы
electric,eléctrico,elektrik,elektrisch,électrique,كهربائي,전기 같은,электрический
electricity,electricidad,elektrisite,Elektrizität,électricité,كهرباء,전기,электричество
electronic,electrónico,elektwonik,elektronisch,électronique,إلكتروني,전자,электронный
element,elemento,eleman,Element,élément,عنصر,요소,элемент
elementary,elemental,elemantè,elementar,élémentaire,ابتدائي,초등학교,элементарный
eliminate,eliminar,elimine,beseitigen,éliminer,اِسْتَبْعَد,제거하다,устранять
elite,élite,elit,Elite,élite,نخبة,엘리트,элита
else,demás,lòt bagay,anders,autre,آخر,또 다른,еще
elsewhere,en otra parte,yon lòt kote,anderswo,autre part,في مكان آخر,다른 곳에서,в другом месте
e-mail,correo electrónico,imel,Email,e-mail,بريد إلكتروني,이메일,электронная почта
embrace,abarcar,anbrase,umarmen,embrasser,يعتنق,포옹하다,объятие
emerge,surgir,sòti,auftauchen,émerger,يظهر,알려지다,появляться
emergency,emergencia,ijans,Notfall,urgence,طارئ,비상,чрезвычайная ситуация
emission,emisión,emisyon,Emission,émission,انبعاث,방사,выбросы
emotion,emoción,emosyon,Emotion,émotion,المشاعر,감정,эмоция
emotional,emocional,emosyonèl,emotional,émotionnel,عاطفي,감정적인,эмоциональный
emphasis,énfasis,anfaz,Schwerpunkt,accent,توكيد,중요성,акцент
emphasize,enfatizar,mete aksan sou,betonen,souligner,يؤكد,강조하다,подчеркивать
employ,emplear,anplwaye,beschäftigen,employer,توظيف,고용,нанимать
employee,empleado,anplwaye,Mitarbeiter,employé,موظف,직원,сотрудник
employer,empleador,patwon,Arbeitgeber,employeur,صاحب العمل,고용주,работодатель
employment,empleo,travay,Anstellung,emploi,توظيف,고용,работа
empty,vacío,vid,leer,vide,فارغ,비어 있는,пустой
enable,permitir,pèmèt,aktivieren,activer,يُمكَِن,~할 수 있게 하다,давать возможность
encounter,encontrar,rankont,begegnen,rencontre,يقابل,맞닥뜨리다,сталкиваться
encourage,alentar,ankouraje,ermutigen,encourager,يشجع,장려하다,поощрять
end,fin,fini,Ende,fin,نهاية,끝,конец
enemy,enemigo,lènmi,Feind,ennemi,العدو,적,враг
energy,energía,enèji,Energie,énergie,طاقة,에너지,энергия
enforcement,aplicación,ranfòsman,Durchsetzung,mise en vigueur,إجباري,시행,исполнение
engage,comprometer,angaje,engagieren,s'engager,يخطب,관계를 맺다,привлекать
engine,motor,motè,Motor,moteur,محرك,엔진,двигатель
engineer,ingeniero,enjenyè,Ingenieur,ingénieur,مهندس,엔지니어,инженер
engineering,ingeniería,jeni,Maschinenbau,ingénierie,هندسة,공학,инженерия
English,Inglés,angle,Englisch,Anglais,إنجليزي,영어,Английский
enhance,mejorar,amelyore,erweitern,améliorer,يحسن,향상시키다,усиливать
enjoy,disfrutar,jwi,genießen,apprécier,يتمتع,즐기다,наслаждаться
enormous,enorme,menmen,enorm,énorme,ضخم,막대한,громадный
enough,suficiente,ase,genug,assez,كافٍ,충분한,достаточно
ensure,asegurar,asire,sicherstellen,assurer,يضمن,보장하다,гарантировать
enter,ingresar,antre,eingeben,entrer,يدخل,입력하다,входить
enterprise,empresa,antrepriz,Unternehmen,entreprise,مَشرُوع,기업,предприятие
entertainment,entretenimiento,amizman,Unterhaltung,divertissement,ترفيه,오락,развлечение
entire,completo,tout antye,gesamte,entier,كامل,전체,весь
entirely,enteramente,totalman,vollständig,entièrement,تماما,전적으로,полностью
entrance,entrada,antre,Eingang,entrée,مدخل,입구,вход
entry,entrada,antre,Eintrag,entrée,دخول,기입,вход
environment,ambiente,anviwònman,Umfeld,environnement,بيئة,환경,среда
environmental,ambiental,anviwònman,Umwelt,environnemental,بيئية,환경,относящийся к окружающей среде
episode,episodio,epizòd,Folge,épisode,حلقة,삽화,эпизод
equal,igual,egal,gleich,égal,متساوي,동일한,равный
equally,igualmente,egalman,gleichermaßen,également,على قدم المساواة,같이,в равной степени
equipment,equipo,ekipman,Ausrüstung,équipement,معدات,장비,оборудование
era,era,epòk,Epoche,ère,حقبة,연대,эпоха
error,error,erè,Fehler,erreur,خطأ,오류,ошибка
escape,escapar,chape,Flucht,s'échapper,يهرب,탈출하다,побег
especially,especialmente,sitou,besonders,en particulier,خصوصاً,특히,особенно
essay,ensayo,redaksyon,Aufsatz,essai,مقال,수필,сочинение
essential,básico,esansyèl,essentiell,essentiel,ضروري,필수적인,существенный
essentially,esencialmente,esansyèlman,im Wesentlichen,essentiellement,بشكل أساسي,본질적으로,по сути
establish,establecer,etabli,gründen,établir,يٌرسّخ,설립하다,учреждать
establishment,establecimiento,etablisman,Einrichtung,établissement,مؤسسة,설립,учреждение
estate,bienes,byen imobilye,Anwesen,domaine,ملكية,사유지,имущество
estimate,estimar,estimasyon,schätzen,estimation,تقدير,추정,оценивать
etc,etc.,elatriye,usw,etc.,إلخ,등,и т. д.
ethics,ética,etik,Ethik,éthique,أخلاق مهنية,윤리학,этика
ethnic,étnico,etnik,ethnisch,ethnique,عرقي,민족,этнический
European,europeo,Ewopeyen an,europäisch,européen,الأوروبية,유럽 ​​사람,Европейский
evaluate,evaluar,evalye,auswerten,évaluer,يقيم,평가하다,оценивать
evaluation,evaluación,evalyasyon,Auswertung,évaluation,تقييم,평가,оценка
even,incluso,menm,sogar,même,حتى,심지어,даже
evening,noche,aswè,Abend,soirée,مساء,저녁,вечер
event,evento,evènman,Ereignis,événement,حدث,이벤트,событие
eventually,eventualmente,evantyèlman,letztlich,finalement,مؤخراً,결국,в конце концов
ever,alguna vez,tout tan,immer,jamais,أبدًا,항상,всегда
every,cada,chak,jeden,chaque,كل,모든,каждый
everybody,todos,tout moun,alle,tout le monde,الجميع,여러분,все
everyday,cada día,chak jou,täglich,tous les jours,كل يوم,매일,каждый день
everyone,todos,tout moun,alle,tout le monde,الجميع,모든 사람,каждый
everything,todo,tout bagay,alles,tout,كل شئ,모든 것,все
everywhere,en todos lados,tout kote,überall,partout,في كل مكان,어디에나,повсюду
evidence,evidencia,prèv,Beweis,preuve,شهادة,증거,доказательство
evolution,evolución,evolisyon,Evolution,évolution,تطور,진화,эволюция
evolve,evolucionar,evolye,evolve,évoluer,تطور,진화하다,эволюционировать
exact,exacto,egzak,genau,exact,بالضبط,정확한,точный
exactly,exactamente,egzakteman,genau,exactement,بالضبط,정확히,точно
examination,examen,egzaminasyon,Untersuchung,examen,فحص,시험,обследование
examine,examinar,egzaminen,prüfen,examiner,يفحص,조사하다,исследовать
example,ejemplo,egzanp,Beispiel,exemple,مثال,예,пример
exceed,superar,depase,überschreiten,dépasser,يزيد عن,초과하다,превосходить
excellent,excelente,ekselan,exzellent,excellent,ممتاز,훌륭한,отличный
except,excepto,eksepte,außer,sauf,يستثني,제외하고,кроме
exception,excepción,eksepsyon,Ausnahme,exception,استثناء,예외,исключение
exchange,intercambio,echanj,Austausch,échange,تبادل,교환,обмен
exciting,emocionante,eksitan,spannend,passionnant,مثير,신나는,захватывающий
executive,ejecutivo,egzekitif,Exekutive,exécutif,تنفيذي,경영진,исполнительный
exercise,ejercicio,fè egzèsis,Übung,exercice,يمارس,운동,упражнение
exhibit,anexo,ekspozisyon,Ausstellungsstück,exposition,يعرض,전시하다,выставка
exhibition,exhibición,egzibisyon,Ausstellung,exposition,معرض,전시회,выставка
exist,existir,egziste,existieren,exister,يخرج,존재하다,существовать
existence,existencia,egzistans,Existenz,existence,وجود,존재,существование
existing,existente,ki ekziste,bestehende,existant,موجود,기존의,существующий
expand,expandir,elaji,expandieren,développer,يوسع,확장하다,расширять
expansion,expansión,ekspansyon,Erweiterung,expansion,توسع,확장,расширение
expect,esperar,atann,erwarten,attendre,يتوقع,예상하다,ожидать
expectation,expectativa,atant,Erwartung,attente,توقع,기대,ожидание
expense,gastos,depans,Aufwand,frais,مصروف,비용,расходы
expensive,caro,chè,teuer,cher,غالي,값비싼,дорогой
experience,experiencia,eksperyans,Erfahrung,expérience,خبرة,경험,опыт
experiment,experimento,eksperyans,Experiment,expérience,تجربة,실험,эксперимент
expert,experto,ekspè,Experte,expert,خبير,전문가,эксперт
explain,explicar,eksplike,erklären,expliquer,يشرح,설명하다,объяснять
explanation,explicación,eksplikasyon,Erläuterung,explication,توضيح,설명,объяснение
explode,explotar,eksploze,explodieren,exploser,ينفجر,터지다,взорваться
explore,explorar,eksplore,erkunden,explorer,يستكشف,탐구하다,исследовать
explosion,explosión,eksplozyon,Explosion,explosion,انفجار,폭발,взрыв
expose,exponer,ekspoze,exponieren,exposer,يفضح,폭로하다,разоблачать
exposure,exposición,ekspoze,Belichtung,exposition,التعرض,노출,контакт
express,expresar,eksprime,äußern,exprimer,يعبر,표현하다,выражать
expression,expresión,ekspresyon,Ausdruck,expression,تعبير,표현,выражение
extend,extender,pwolonje,verlängern,étendre,يمتد,연장하다,продлевать
extension,extensión,ekstansyon,Verlängerung,extension,امتداد,확대,расширение
extensive,extenso,vaste,umfangreich,extensif,شاسِع,광범위한,обширный
extent,medida,limit,Ausmaß,étendue,حد,정도,степень
external,externo,ekstèn,extern,externe,خارجي,외부,внешний
extra,extra,siplemantè,extra,supplémentaire,إضافي,추가의,дополнительный
extraordinary,extraordinario,ekstraòdinè,außergewöhnlich,extraordinaire,نادِر,기이한,необыкновенный
extreme,extremo,ekstrèm,extrem,extrême,أقصى,극심한,крайний
extremely,extremadamente,ekstrèmman,äußerst,extrêmement,لأقصى حد,극도로,очень сильно
eye,ojo,je,Auge,œil,عين,눈,глаз
fabric,tela,twal,Stoff,tissu,قماش,구조,ткань
face,cara,figi,Gesicht,affronter,وجه,얼굴,лицо
facility,instalación,etablisman,Einrichtung,facilité,منشأة,시설,средство
fact,hecho,reyalite,Tatsache,fait,حقيقة,사실,факт
factor,factor,faktè,Faktor,facteur,عامل,요인,фактор
factory,fábrica,faktori,Fabrik,usine,مصنع,공장,фабрика
faculty,facultad,fakilte,Fakultät,la faculté,كلية,학부,факультет
fade,desteñir,fennen,verblassen,disparaître,يختفي,바래다,тускнеть
fail,fallar,echwe,scheitern,échouer,يفشل,실패하다,неудача
failure,falla,echèk,Versagen,échec,فشل,실패,отказ
fair,justo,jis,gerecht,équitable,عدل,공정한,справедливый
fairly,equitativamente,jistis,ziemlich,assez,تماما,꽤,весьма
faith,fe,lafwa,Glaube,foi,إيمان,믿음,вера
fall,caer,tonbe,fallen,automne,يسقط,떨어지다,падать
familiar,familiar,abitye,vertraut,familier,مألوف,친숙한,привычный
family,familia,fanmi,Familie,famille,عائلة,가족,семья
famous,famoso,pi popilè,berühmt,célèbre,مشهور,유명한,известный
fan,admirador,fanatik,Lüfter,ventilateur,معجب,팬,вентилятор
fantasy,fantasía,fantezi,Fantasie,fantaisie,خيالي,공상,фантазия
far,lejos,byen lwen,weit,loin,بعيد,멀리,далеко
farm,granja,fèm,Bauernhof,ferme,مزرعة,농장,ферма
farmer,agricultor,kiltivatè,Bauer,fermier,مزارع,농장주,фермер
fashion,moda,mòd,Mode,mode,موضة,패션,мода
fast,rápido,vit,schnell,rapide,سريع,빠른,быстрый
fat,gordo,grès,fett,graisse,سمين,지방,толстый
fate,destino,sò,Schicksal,destin,قدر,운명,судьба
father,padre,papa,Vater,père,أب,아버지,отец
fault,falla,fòt,Fehler,faute,عيب,잘못,вина
favor,favor,favè,favorisieren,service,محاباة,호의,услуга
favorite,favorito,pi renmen,Favorit,préféré,مفضل,가장 좋아하는,любимый
fear,miedo,pè,Furcht,peur,يخاف,두려움,страх
feature,característica,karakteristik,Besonderheit,fonctionnalité,ميزة,특징,особенность
federal,federal,federal,föderal,fédéral,الفيدرالية,연방,федеральный
fee,tarifa,frè,Gebühr,frais,مصاريف,요금,платеж
feed,alimentar,manje,füttern,alimentation,يٌطعم,밥을 먹이다,кормить
feel,sentir,santi,fühlen,sentir,يشعر,느끼다,чувствовать
feeling,sentimiento,santi,Gefühl,sentiment,إحساس,감정,чувство
fellow,compañero,parèy,Gefährte,compagnon,زميل,사람,парень
female,femenino,fi,weiblich,femelle,أنثى,여성,женский
fence,cerca,kloti,Zaun,clôture,سور,울타리,изгородь
few,pocos,kèk,wenige,peu,عدد قليل,약간의,немного
fewer,menos,mwens,weniger,moins,أقل,보다 적은,меньше
fiber,fibra,fib,Faser,fibre,الفيبر,섬유,волокно
fiction,ficción,fiksyon,Fiktion,fiction,خيالي,소설,вымысел
field,campo,jaden,Feld,champ,مجال,필드,поле
fifteen,quince,kenz,fünfzehn,quinze,خمسة عشر,열 다섯,пятнадцать
fifth,quinto,senkyèm,fünfte,cinquième,الخامس,다섯,пятый
fifty,cincuenta,senkant,fünfzig,cinquante,خمسون,오십,пятьдесят
fight,luchar,goumen,kämpfen,lutte,يعارك,싸움,драться
fighter,combatiente,avyon de gè,Kämpfer,combattant,مقاتل,전투기,боец
fighting,lucha,goumen,Kampf,lutte,قتال,화이팅,борьба
figure,cifra,figi,Figur,chiffre,شكل,수치,фигура
file,archivo,dosye,Datei,déposer,ملف,파일,файл
fill,llenar,ranpli,füllen,remplir,يملأ,채우다,наполнять
film,película,fim,Film,film,فيلم,영화,фильм
final,final,final,Finale,final,أخير,결정적인,финальный
finally,finalmente,finalman,Endlich,enfin,أخيراً,마지막으로,окончательно
finance,finanzas,finans,Finanzen,finance,تمويل,재원,финансы
financial,financiero,finansye,finanziell,financier,مالي,재정적인,финансовый
find,encontrar,jwenn,finden,trouver,يجد,찾다,находить
finding,hallazgo,jwenn,finden,découverte,العثور على,발견,нахождение
fine,bien,byen,Bußgeld,bien,بخير,괜찮은,отлично
finger,dedo,dwèt,Finger,doigt,اصبع اليد,손가락,Палец
finish,finalizar,fini,beenden,finition,ينهي,마치다,заканчивать
fire,fuego,dife,Feuer,feu,نار,불,огонь
firm,firme,fèm,Firma,ferme,حازم,단단한,твердый
first,primero,premye,Erste,d'abord,أولاً,첫 번째,первый
fish,pez,pwason,Fisch,poisson,سمكة,물고기,рыба
fishing,pesca,lapèch,Angeln,pêche,صيد السمك,어업,ловит рыбу
fit,adaptar,anfòm,fit,ajuster,ملائم,맞다,соответствовать
fitness,aptitud física,kondisyon fizik,Fitness,aptitude,لياقة بدنية,적합,фитнес
five,cinco,senk,fünf,cinq,خمسة,다섯,пять
fix,arreglar,ranje,Fix,réparer,يصلح,고치다,исправить
flag,bandera,drapo,Flagge,drapeau,علَم,깃발,флаг
flame,fuego,flanm dife,Flamme,flamme,لهب,불꽃,пламя
flat,departamento,plat,Wohnung,plat,مستوي,평평한,плоский
flavor,sabor,gou,Geschmack,saveur,نكهة,맛,вкус
flee,huir,kouri,fliehen,fuir,اهرب,서두르다,бежать
flesh,carne,vyann,Fleisch,chair,لحم,육체,плоть
flight,vuelo,vòl,Flug,vol,رحلة جوية,비행,полет
float,flotar,flote,schweben,flotter,يطفو,뜨다,плавать
floor,piso,etaj,Boden,sol,أرضية,바닥,пол
flow,fluir,koule,fließen,couler,تدفق,흐름,поток
flower,flor,flè,Blume,fleur,ورد,꽃,цветок
fly,volar,vole,Fliege,voler,يطير,파리,летать
focus,enfocar,konsantre,Fokus,se concentrer,ركز,집중하다,сосредоточиться
folk,gente,popilè,Volk,populaire,قوم,사람들,народный
follow,seguir,swiv,folgen,suivre,يتبع,따르다,следовать
following,siguiente,swivan,folgende,suivant,التالي,수행원,следующий
food,alimento,manje,Essen,nourriture,طعام,음식,еда
foot,pie,pye,Fuß,pied,قدم,발,ступня
football,fútbol americano,foutbòl,Fußball,football,كرة القدم,축구,футбол
for,para,pou,für,pour,ل,~을 위한,для
force,fuerza,fòs,Gewalt,forcer,قوة,힘,сила
foreign,extranjero,etranje,ausländisch,étranger,أجنبي,외국의,иностранный
forest,bosque,forè,Wald,forêt,غابة,숲,лес
forever,para siempre,pou toutan,für immer,pour toujours,للأبد,영원히,навсегда
forget,olvidar,bliye,vergessen,oublier,ينسى,잊다,забывать
form,forma,fòm,bilden,formulaire,استمارة,형태,форма
formal,formal,fòmèl,formell,officiel,رَسمِيّ,공식적인,формальный
formation,formación,fòmasyon,Formation,formation,تشكيل,형성,формирование
former,anterior,ansyen,ehemalig,ancien,سابق,이전의,бывший
formula,fórmula,fòmil,Formel,formule,معادلة,공식,формула
forth,adelante,soti,her,en avant,إيابا,앞으로,вперед
fortune,fortuna,fòtin,Vermögen,fortune,حظ,행운,удача
forward,adelante,pi devan,nach vorne,avant,إلى الأمام,앞으로,вперед
found,encontró,jwenn,gefunden,trouvé,وجد,설립하다,найденный
foundation,base,fondasyon,Stiftung,fondation,مؤسسة,기반,фундамент
founder,fundador,fondatè,Gründer,fondateur,مؤسس,설립자,основатель
four,cuatro,kat,vier,quatre,أربعة,네,четыре
fourth,cuatro,katriyèm,vierte,quatrième,الرابع,네번째,четвертый
frame,marco,ankadreman,rahmen,cadre,إطار,액자,рамка
framework,estructura,kad,Rahmen,cadre,نطاق,뼈대,рамки
free,gratis,gratis,frei,gratuit,حر,무료,бесплатно
freedom,libertad,libète,Freiheit,liberté,حرية,자유,свобода
freeze,congelar,friz,einfrieren,geler,تجميد,꼭 매달리게 하다,заморозить
French,Francés,franse,Französisch,Français,فرنسي,프랑스 국민,Французский
frequency,frecuencia,frekans,Frequenz,fréquence,تكرار,빈도,частота
frequent,frecuente,souvan,häufig,fréquent,متكرر,잦은,частый
frequently,frecuentemente,souvan,häufig,fréquemment,مرارًا,자주,часто
fresh,fresco,fre,frisch,frais,طازج,신선한,свежий
friend,amigo,zanmi,Freund,ami,صديق,친구,друг
friendly,amigable,zanmitay,freundlich,amical,ودي,친숙한,дружелюбно
friendship,amistad,amitye,Freundschaft,amitié,صداقة,우정,дружба
from,de,soti nan,aus,depuis,من,~에서,от
front,frente,devan,Vorderseite,devant,أمام,앞쪽,передний
fruit,fruta,fwi,Obst,fruit,فاكهة,과일,фрукты
frustration,frustración,fristrasyon,Frustration,frustration,إحباط,좌절,разочарование
fuel,combustible,gaz,Kraftstoff,carburant,وقود,연료,топливо
full,lleno,plen,voll,complet,ممتلىء,가득한,полный
fully,completamente,totalman,völlig,pleinement,تماما,충분히,в полной мере
fun,divertido,plezi,Spaß,amusant,هزار,재미있는,веселье
function,función,fonksyon,Funktion,fonction,وظيفة,기능,функция
fund,fondo,fon,Fonds,fonds,تمويل,축적,фонд
fundamental,fundamental,fondamantal,grundlegend,fondamental,أساسي,근본적인,фундаментальный
funding,fondos,finansman,Finanzierung,financement,التمويل,자금 조달,финансирование
funeral,funeral,fineray,Beerdigung,funérailles,جنازة,장례식,похороны
funny,divertido,komik,lustig,drôle,مضحك,재미있는,забавный
furniture,muebles,mèb,Möbel,meubles,أثاث,가구,мебель
furthermore,además,anplis,Außerdem,en outre,بالإضافة إلى,뿐만 아니라,более того
future,futuro,lavni,Zukunft,avenir,مستقبل,미래,будущее
gain,ganar,genyen,gewinnen,gagner,يكسب,얻다,прирост
galaxy,galaxia,galaksi,Galaxis,galaxie,galaxy,은하,галактика
gallery,galería,galri,Galerie,Galerie,صالة عرض,갤러리,галерея
game,juego,jwèt,Spiel,jeu,لعبة,게임,игра
gang,pandilla,gang,Gang,gang,عصابة,가다,банда
gap,brecha,diferans,Lücke,écart,فجوة,갭,зазор
garage,cochera,garaj,Garage,garage,كراج,차고,гараж
garden,jardín,jaden,Garten,jardin,حديقة,정원,сад
garlic,ajo,lay,Knoblauch,ail,ثوم,마늘,чеснок
gas,gas,gaz,Gas,gaz,غاز,가스,газ
gate,puerta,pòtay,Tor,grille,بوابة,문,ворота
gather,recolectar,rasanble,versammeln,rassembler,يجتمع,모으다,собирать
gay,homosexuales,masisi,Fröhlich,gay,مثلي الجنس,게이,гей
gaze,mirada,gade,Blick,regard,تحديق,시선,посмотреть
gear,engranaje,Kovèti pou,Gang,engrenage,هيأ,기어,механизм
gender,género,sèks,Geschlecht,genre,جنس,성별,пол
gene,gene,jèn,Gen,gène,الجين,유전자,ген
general,general,jeneral,allgemein,général,عام,일반적인,общий
generally,generalmente,jeneralman,allgemein,en général,عمومًا,일반적으로,в целом
generate,generar,jenere,generieren,générer,يولد,생성하다,генерировать
generation,generación,jenerasyon,Generation,génération,جيل,세대,поколение
genetic,genético,jenetik,genetisch,génétique,الوراثية,유전적,генетический
gentleman,hidalgo,mesye,Gentleman,gentilhomme,انسان محترم,신사,джентльмен
gently,suavemente,dousman,sanft,doucement,بلطف,부드럽게,нежно
German,Alemán,Alman,Deutsch,Allemand,ألمانية,독일 사람,Немецкий
gesture,gesto,jès,Geste,geste,إيماءة,몸짓,жест
get,conseguir,jwenn,erhalten,obtenir,يحصل,얻다,получать
ghost,fantasma,fantom,Geist,fantôme,شبح,귀신,призрак
giant,gigante,jeyan,Riese,géant,عملاق,거대한,гигант
gift,regalo,kado,Geschenk,cadeau,هدية,선물,подарок
gifted,dotado,ki gen don,begabtes,doué,موهوب,재능이 있는,одаренный
girl,chica,ti fi,Mädchen,fille,بنت,소녀,девочка
girlfriend,novia,mennaj,Freundin,petite amie,صديقة,여자 친구,Подруга
give,dar,bay,geben,donner,يعطي,주다,давать
given,dado,bay,gegeben,donné,منح,주어진,данный
