die,morir,mouri,sterben,mourir,mawt,jusawi,umeret'
diet,dieta,rejim alimantè,Diät,régime,nizam eadhayiyun,daieoteu,diyeta
differ,diferir de,diferan,abweichen,différer,akhtalaf,daleuda,otlichat'sya
difference,diferencia,diferans,Unterschied,différence,aikhtilaf,chaijeom,raznitsa
different,diferente,diferan,anders,différent,mukhtalif,daleun,drugoy
differently,diferentemente,yon fason diferan,anders,différemment,bishakl mukhtalif,daleuge,inache
difficult,difícil,difisil,schwierig,difficile,saeb,eolyeoun,trudnyy
difficulty,dificultad,difikilte,Schwierigkeit,difficulté,sueuba,eolyeoum,trudnost'
dig,excavar,fouye,graben,creuser,hafr,pagi,kopat'
digital,digital,dijital,Digital,numérique,raqami,dijiteol,tsifrovoy
dimension,dimensión,dimansyon,Abmessungen,dimension,albued,chisu,izmereniye
dining,comida,manje,Essen,à manger,tanawal altaeam,sigsa,stolovaya
dinner,cena,dine,Abendessen,dîner,easha',jeonyeog,uzhin
direct,directo,dirèk,Direkte,direct,mubashir,jigjeob,pryamoy
direction,dirección,direksyon,Richtung,direction,atijah,banghyang,napravleniye
directly,directamente,dirèkteman,direkt,directement,mubasharatan,godjang,napryamuyu
director,director,direktè,Direktor,directeur,mukhraj,gamdog,direktor
dirt,suciedad,pousyè tè,Schmutz,saleté,alturab,heulg,gryaz'
dirty,sucio,sal,schmutzig,sale,mutasakh,deoleoun,gryaznyy
disability,discapacidad,andikap,Behinderung,invalidité,eajz,muneung,invalidnost'
disagree,discrepar,pa dakò,verschiedener Meinung sein,être en désaccord,tuearid,dong-uihaji anhneunda,ne soglasen
disappear,desaparecer,disparèt,verschwinden,disparaître,yakhtafi,salajida,propadat'
disaster,desastre,dezas,Katastrophe,catastrophe,karitha,jaehae,katastrofa
discipline,disciplina,disiplin,Disziplin,discipline,tadib,gyuyul,distsiplina
discourse,discurso,diskou,Diskurs,discours,alhiwar,damhwa,diskurs
discover,descubrir,dekouvri,entdecken,découvrir,yaktashif,balgyeonhada,obnaruzhit'
discovery,descubrimiento,dekouvèt,Entdeckung,Découverte,aiktishaf,balgyeon,otkrytiye
discrimination,discriminación,diskriminasyon,Diskriminierung,discrimination,tamyiz,chabyeol,diskriminatsiya
discuss,conversar,diskite,diskutieren,discuter,yunaqash,non-uihada,obsuzhdat'
discussion,discusión,diskisyon,Diskussion,discussion,munaqasha,non-ui,obsuzhdeniye
disease,enfermedad,maladi,Krankheit,maladie,mard,jilbyeong,bolezn'
dish,plato,plat,Gericht,plat,tabaq,jeobsi,blyudo
dismiss,despedir,ranvwaye,zurückweisen,rejeter,rafad,haegohada,uvol'nyat'
disorder,trastorno,dezòd,Störung,désordre,adtirab,mujilseo,besporyadok
display,mostrar,ekspozisyon,Anzeige,afficher,eird,pyosihada,otobrazhat'
dispute,disputar,diskisyon,Disput,différend,yunazie,nonjaeng,spor
distance,distancia,distans,Distanz,distance,masafatan,geoli,rasstoyaniye
distant,distante,byen lwen,entfernt,loin,bueid,meon,dalekiy
distinct,distinto,diferan,unterscheidbar,distinct,mutamayiz,byeolgaeui,otchetlivyy
distinction,distinción,distenksyon,Unterscheidung,distinction,aimtiaz,gubyeol,razlichiye
distinguish,distinguir,distenge,unterscheiden,distinguer,yumayiz,gubyeolhada,razlichat'
distribute,distribuir,distribye,verteilen,distribuer,nushir,bunbaehada,rasprostranyat'
distribution,distribución,distribisyon,Verteilung,distribution,tawzie,bunpo,raspredeleniye
district,distrito,distri,Bezirk,district,yusraf,guyeog,okrug
diverse,diverso,divès,vielfältig,divers,mutanawie,dayanghan,raznoobraznyy
diversity,diversidad,divèsite,Diversität,diversité,tanawue,dayangseong,raznoobraziye
divide,dividir,divize,teilen,diviser,yuqasam,nanuda,razdelyat'
division,división,divizyon,Aufteilung,division,qism,bunhal,razdeleniye
divorce,divorcio,divòs,Scheidung,divorce,altalaq,ihon,razvod
DNA,ADN,ADN,DNA,ADN,alhimd alnawawiu,DNA,DNK
do,hacer,fè,Tun,faire,yafeal,hada,delat'
doctor,doctor,doktè,Arzt,médecin,tabib,uisa,vrach
document,documento,dokiman,dokumentieren,document,wathiqatan,munseo,dokument
dog,perro,chen,Hund,chien,kalb,gae,sobaka
domestic,doméstico,domestik,inländisch,domestique,mahaliy,gugnaeui,odomashnennyy
dominant,dominante,dominan,Dominant,dominant,musaytir,useong,dominiruyushchiy
dominate,dominar,domine,dominieren,dominer,tusaytir,ppaeeonage sosda,dominirovat'
door,puerta,pòt,Tür,porte,bab,mun,dver'
double,doble,doub,doppelt,double,muzdawij,deobeul,dvoynoy
doubt,duda,dout,zweifeln,doute,shakin,uisim,somnevat'sya
down,abajo,desann,runter,vers le bas,taht,alaee,vniz
downtown,centro,anba lavil,Innenstadt,centre ville,wast albalad,dosim,tsentr goroda
dozen,docena,douzèn,Dutzend,douzaine,dazina,daseu,dyuzhina
draft,borrador,bouyon,Entwurf,brouillon,muswada,choan,chernovik
drag,arrastrar,trennen,ziehen,traîner,yajuru,gyeon-in,tashchit'
drama,drama,dram,Theater,drame,dirama,deulama,drama
dramatic,dramático,dramatik,dramatisch,spectaculaire,diramatiki,geugjeog-in,dramaticheskiy
dramatically,dramáticamente,dramatikman,dramatisch,dramatiquement,bishakl kabir,geugjeog-eulo,rezko
draw,dibujar,trase,ziehen,dessiner,yarsam,geulida,risovat'
drawing,dibujo,desen,Zeichnung,dessin,rasim,geulim,risunok
dream,sueño,rèv,Traum,rêve,hulm,kkum,mechtat'
dress,vestido,abiye,Kleid,robe,fustan,deuleseu,odevat'sya
drink,beber,bwè,trinken,boire,yashrab,masida,napitok
drive,conducir,kondwi,fahren,conduire,yaqud,unjeonhada,vodit' mashinu
driver,conductor,chofè,Treiber,conducteur,sayiq,unjeonsa,Voditel'
drop,gota,gout,fallen,baisse,yasqut,tteol-eojida,uronit'
drug,droga,dwòg,Arzneimittel,médicament,dawa',uiyagpum,lekarstvo
dry,seco,sèk,trocken,sec,jaf,maleun,sukhoy
due,pendiente,akòz,fällig,exigible,haqun,~lo inhan,dolzhnyy
during,durante,pandan,während,pendant,khilal,~ dong-an,v techeniye
dust,polvo,pousyè,Staub,poussière,turab,meonji,pyl'
duty,deber,devwa,Pflicht,devoir,wajib,uimu,dolg
each,cada,chak,jede,chaque,kulu,gag,kazhdyy
eager,ansioso,anvi,erpicht,désireux,mushtaq,yeollyeolhan,zhazhdushchiy
ear,oreja,zòrèy,Ohr,oreille,udhin,gwi,ukho
early,temprano,bonè,früh,tôt,mubakir,iljjig,rano
earn,ganar,touche,verdienen,gagner,yaksib,beolda,zarabatyvat'
earnings,ganancias,salè,Verdienste,gains,al'arbah,su-ib,zarabotok
earth,tierra,latè,Erde,Terre,ard,jigu,zemlya
ease,facilidad,fasilite,Leichtigkeit,facilité,yusahhl,swium,prostota
easily,fácilmente,fasil,leicht,facilement,bisuhula,yong-ihage,legko
east,este,bò solèy leve,Ost,est,sharq,dongjjog,vostok
eastern,oriental,lès,östlich,est,sharqia,dongbu,vostochnyy
easy,fácil,fasil,einfach,facile,sahl,swiun,legkiy
eat,comer,manje,essen,manger,yakul,meogda,yest'
economic,económico,ekonomik,wirtschaftlich,économique,aqtisadiun,gangyeolhan,ekonomicheskiy
economics,ciencias económicas,ekonomi,Wirtschaft,économie,aiqtisadiaat,gyeongjehag,ekonomika
economist,economista,ekonomis,Ökonom,économiste,khabir aiqtisadiun,gyeongjehagja,ekonomist
economy,economía,ekonomi,Wirtschaft,économie,aiqtisad,gyeongje,ekonomika
edge,borde,kwen,Rand,bord,hafa,gajangjali,kray
edition,edición,edisyon,Auflage,édition,al'iisdar,pan,versiya
editor,editor,editè,Editor,éditeur,muharar,pyeonjibja,redaktor
educate,educar,edike,erziehen,éduquer,taelim,gileuda,obuchat'
education,educación,edikasyon,Ausbildung,éducation,taelim,gyoyug,obrazovaniye
educational,educativo,edikatif,lehrreich,éducatif,altaelimia,gyoyugjeog-in,obrazovatel'nyy
educator,educador,edikatè,Erzieher,éducateur,murabiy,gyoyugja,pedagog
effect,efecto,efè,Wirkung,effet,tathir,hyogwa,effekt
effective,eficaz,efikas,Wirksam,efficace,faeaal,hyogwajeog-in,effektivnyy
effectively,efectivamente,efektivman,effektiv,effectivement,ealaa nahw faeaal,hyogwajeog-eulo,effektivno
efficiency,eficiencia,efikasite,Effizienz,efficacité,kafa'a,neunglyul,effektivnost'
efficient,eficiente,efikas,effizient,efficace,faeaal,hyoyuljeog-in,effektivnyy
effort,esfuerzo,efò,Bemühung,effort,juhd,nolyeog,usiliye
egg,huevo,ze,Ei,œuf,bayda,gyelan,yaytso
eight,ocho,uit,acht,huit,thamania,yeodeolb,vosem'
either,cualquiera,swa,entweder,soit,aydaan,eoneu hana,ili
elderly,anciano,granmoun aje,Alten,âgé,kabir,yeonsega deusin,pozhiloy
elect,electo,eli,wählen,élire,almuntakhab,seontaegdoen,vybirat'
election,elección,eleksyon,Wahl,élection,aintikhab,seongeo,vybory
electric,eléctrico,elektrik,elektrisch,électrique,kahrabayiyun,jeongi gat-eun,elektricheskiy
electricity,electricidad,elektrisite,Elektrizität,électricité,kahraba',jeongi,elektrichestvo
electronic,electrónico,elektwonik,elektronisch,électronique,iilikturuniun,jeonja,elektronnyy
element,elemento,eleman,Element,élément,eunsur,yoso,element
elementary,elemental,elemantè,elementar,élémentaire,abtidayiy,chodeunghaggyo,elementarnyy
eliminate,eliminar,elimine,beseitigen,éliminer,aistabead,jegeohada,ustranyat'
elite,élite,elit,Elite,élite,nukhba,elliteu,elita
else,demás,lòt bagay,anders,autre,akhar,tto daleun,yeshche
elsewhere,en otra parte,yon lòt kote,anderswo,autre part,fi makan akhar,daleun gos-eseo,v drugom meste
e-mail,correo electrónico,imel,Email,e-mail,barid 'iiliktiruniun,imeil,elektronnaya pochta
embrace,abarcar,anbrase,umarmen,embrasser,yaetaniq,poonghada,"ob""yatiye"
emerge,surgir,sòti,auftauchen,émerger,yazhar,allyeojida,poyavlyat'sya
emergency,emergencia,ijans,Notfall,urgence,tari,bisang,chrezvychaynaya situatsiya
emission,emisión,emisyon,Emission,émission,anbieath,bangsa,vybrosy
emotion,emoción,emosyon,Emotion,émotion,almashaeir,gamjeong,emotsiya
emotional,emocional,emosyonèl,emotional,émotionnel,eatifi,gamjeongjeog-in,emotsional'nyy
emphasis,énfasis,anfaz,Schwerpunkt,accent,tawkid,jung-yoseong,aktsent
emphasize,enfatizar,mete aksan sou,betonen,souligner,yuakid,gangjohada,podcherkivat'
employ,emplear,anplwaye,beschäftigen,employer,tawzif,goyong,nanimat'
employee,empleado,anplwaye,Mitarbeiter,employé,muazaf,jig-won,sotrudnik
employer,empleador,patwon,Arbeitgeber,employeur,sahib aleamal,goyongju,rabotodatel'
employment,empleo,travay,Anstellung,emploi,tawzif,goyong,rabota
empty,vacío,vid,leer,vide,farigh,bieo issneun,pustoy
enable,permitir,pèmèt,aktivieren,activer,yumkain,~hal su issge hada,davat' vozmozhnost'
encounter,encontrar,rankont,begegnen,rencontre,yuqabil,majdagtteulida,stalkivat'sya
encourage,alentar,ankouraje,ermutigen,encourager,yushajie,janglyeohada,pooshchryat'
end,fin,fini,Ende,fin,nihaya,kkeut,konets
enemy,enemigo,lènmi,Feind,ennemi,aleaduu,jeog,vrag
energy,energía,enèji,Energie,énergie,taqa,eneoji,energiya
enforcement,aplicación,ranfòsman,Durchsetzung,mise en vigueur,iijbari,sihaeng,ispolneniye
engage,comprometer,angaje,engagieren,s'engager,yakhtub,gwangyeleul maejda,privlekat'
engine,motor,motè,Motor,moteur,muharik,enjin,dvigatel'
engineer,ingeniero,enjenyè,Ingenieur,ingénieur,muhandis,enjinieo,inzhener
engineering,ingeniería,jeni,Maschinenbau,ingénierie,handasa,gonghag,inzheneriya
English,Inglés,angle,Englisch,Anglais,iinjiliziun,yeong-eo,Angliyskiy
enhance,mejorar,amelyore,erweitern,améliorer,yahsun,hyangsangsikida,usilivat'
enjoy,disfrutar,jwi,genießen,apprécier,yatamatae,jeulgida,naslazhdat'sya
enormous,enorme,menmen,enorm,énorme,dakhm,magdaehan,gromadnyy
enough,suficiente,ase,genug,assez,kaf,chungbunhan,dostatochno
ensure,asegurar,asire,sicherstellen,assurer,yadman,bojanghada,garantirovat'
enter,ingresar,antre,eingeben,entrer,yadkhul,iblyeoghada,vkhodit'
enterprise,empresa,antrepriz,Unternehmen,entreprise,mashrue,gieob,predpriyatiye
entertainment,entretenimiento,amizman,Unterhaltung,divertissement,tarfih,olag,razvlecheniye
entire,completo,tout antye,gesamte,entier,kamil,jeonche,ves'
entirely,enteramente,totalman,vollständig,entièrement,tamaman,jeonjeog-eulo,polnost'yu
entrance,entrada,antre,Eingang,entrée,madkhal,ibgu,vkhod
entry,entrada,antre,Eintrag,entrée,dukhul,giib,vkhod
environment,ambiente,anviwònman,Umfeld,environnement,biya,hwangyeong,sreda
environmental,ambiental,anviwònman,Umwelt,environnemental,biyiya,hwangyeong,otnosyashchiysya k okruzhayushchey srede
episode,episodio,epizòd,Folge,épisode,halqa,sabhwa,epizod
equal,igual,egal,gleich,égal,mutasawi,dong-ilhan,ravnyy
equally,igualmente,egalman,gleichermaßen,également,ealaa qadam almusawaa,gat-i,v ravnoy stepeni
equipment,equipo,ekipman,Ausrüstung,équipement,mueadaat,jangbi,oborudovaniye
era,era,epòk,Epoche,ère,hiqba,yeondae,epokha
error,error,erè,Fehler,erreur,khata,olyu,oshibka
escape,escapar,chape,Flucht,s'échapper,yahrub,talchulhada,pobeg
especially,especialmente,sitou,besonders,en particulier,khswsaan,teughi,osobenno
essay,ensayo,redaksyon,Aufsatz,essai,maqal,supil,sochineniye
essential,básico,esansyèl,essentiell,essentiel,daruri,pilsujeog-in,sushchestvennyy
essentially,esencialmente,esansyèlman,im Wesentlichen,essentiellement,bishakl 'asasiin,bonjiljeog-eulo,po suti
establish,establecer,etabli,gründen,établir,yunrsskh,seollibhada,uchrezhdat'
establishment,establecimiento,etablisman,Einrichtung,établissement,muasasa,seollib,uchrezhdeniye
estate,bienes,byen imobilye,Anwesen,domaine,milkia,sayuji,imushchestvo
estimate,estimar,estimasyon,schätzen,estimation,taqdir,chujeong,otsenivat'
etc,etc.,elatriye,usw,etc.,ilkh,deung,i t. d.
ethics,ética,etik,Ethik,éthique,akhlaq mihnia,yunlihag,etika
ethnic,étnico,etnik,ethnisch,ethnique,eirqi,minjog,etnicheskiy
European,europeo,Ewopeyen an,europäisch,européen,al'uwrubiya,yuleob ​​salam,Yevropeyskiy
evaluate,evaluar,evalye,auswerten,évaluer,yuqim,pyeong-gahada,otsenivat'
evaluation,evaluación,evalyasyon,Auswertung,évaluation,taqyim,pyeong-ga,otsenka
even,incluso,menm,sogar,même,hataa,simjieo,dazhe
evening,noche,aswè,Abend,soirée,masa'an,jeonyeog,vecher
event,evento,evènman,Ereignis,événement,hadath,ibenteu,sobytiye
eventually,eventualmente,evantyèlman,letztlich,finalement,mwkhraan,gyeolgug,v kontse kontsov
ever,alguna vez,tout tan,immer,jamais,abdan,hangsang,vsegda
every,cada,chak,jeden,chaque,kulu,modeun,kazhdyy
everybody,todos,tout moun,alle,tout le monde,aljamie,yeoleobun,vse
everyday,cada día,chak jou,täglich,tous les jours,kula yawm,maeil,kazhdyy den'
everyone,todos,tout moun,alle,tout le monde,aljamie,modeun salam,kazhdyy
everything,todo,tout bagay,alles,tout,kulu shi,modeun geos,vse
everywhere,en todos lados,tout kote,überall,partout,fi kuli makan,eodiena,povsyudu
evidence,evidencia,prèv,Beweis,preuve,shahada,jeung-geo,dokazatel'stvo
evolution,evolución,evolisyon,Evolution,évolution,tatawar,jinhwa,evolyutsiya
evolve,evolucionar,evolye,evolve,évoluer,tatawar,jinhwahada,evolyutsionirovat'
exact,exacto,egzak,genau,exact,bialdabt,jeonghwaghan,tochnyy
exactly,exactamente,egzakteman,genau,exactement,bialdabt,jeonghwaghi,tochno
examination,examen,egzaminasyon,Untersuchung,examen,fahs,siheom,obsledovaniye
examine,examinar,egzaminen,prüfen,examiner,yafhas,josahada,issledovat'
example,ejemplo,egzanp,Beispiel,exemple,mithal,ye,primer
exceed,superar,depase,überschreiten,dépasser,yazid ean,chogwahada,prevoskhodit'
excellent,excelente,ekselan,exzellent,excellent,mumtaz,hullyunghan,otlichnyy
except,excepto,eksepte,außer,sauf,yastathni,je-oehago,krome
exception,excepción,eksepsyon,Ausnahme,exception,astithna',ye-oe,isklyucheniye
exchange,intercambio,echanj,Austausch,échange,tabadal,gyohwan,obmen
exciting,emocionante,eksitan,spannend,passionnant,muthir,sinnaneun,zakhvatyvayushchiy
executive,ejecutivo,egzekitif,Exekutive,exécutif,tanfidhi,gyeong-yeongjin,ispolnitel'nyy
exercise,ejercicio,fè egzèsis,Übung,exercice,yumaris,undong,uprazhneniye
exhibit,anexo,ekspozisyon,Ausstellungsstück,exposition,yuerid,jeonsihada,vystavka
exhibition,exhibición,egzibisyon,Ausstellung,exposition,maerid,jeonsihoe,vystavka
exist,existir,egziste,existieren,exister,yakhruj,jonjaehada,sushchestvovat'
existence,existencia,egzistans,Existenz,existence,wujud,jonjae,sushchestvovaniye
existing,existente,ki ekziste,bestehende,existant,mawjud,gijon-ui,sushchestvuyushchiy
expand,expandir,elaji,expandieren,développer,yuasie,hwagjanghada,rasshiryat'
expansion,expansión,ekspansyon,Erweiterung,expansion,tawasae,hwagjang,rasshireniye
expect,esperar,atann,erwarten,attendre,yutawaqae,yesanghada,ozhidat'
expectation,expectativa,atant,Erwartung,attente,tawaqae,gidae,ozhidaniye
expense,gastos,depans,Aufwand,frais,masruf,biyong,raskhody
expensive,caro,chè,teuer,cher,ghali,gabsbissan,dorogoy
experience,experiencia,eksperyans,Erfahrung,expérience,khibra,gyeongheom,opyt
experiment,experimento,eksperyans,Experiment,expérience,tajriba,silheom,eksperiment
expert,experto,ekspè,Experte,expert,khabir,jeonmunga,ekspert
explain,explicar,eksplike,erklären,expliquer,yashrah,seolmyeonghada,"ob""yasnyat'"
explanation,explicación,eksplikasyon,Erläuterung,explication,tawdih,seolmyeong,"ob""yasneniye"
explode,explotar,eksploze,explodieren,exploser,yanfajir,teojida,vzorvat'sya
explore,explorar,eksplore,erkunden,explorer,yastakshif,tamguhada,issledovat'
explosion,explosión,eksplozyon,Explosion,explosion,ainfijar,pogbal,vzryv
expose,exponer,ekspoze,exponieren,exposer,yafdah,poglohada,razoblachat'
exposure,exposición,ekspoze,Belichtung,exposition,altaearud,nochul,kontakt
express,expresar,eksprime,äußern,exprimer,yaebur,pyohyeonhada,vyrazhat'
expression,expresión,ekspresyon,Ausdruck,expression,taebir,pyohyeon,vyrazheniye
extend,extender,pwolonje,verlängern,étendre,yamtadu,yeonjanghada,prodlevat'
extension,extensión,ekstansyon,Verlängerung,extension,aimtidad,hwagdae,rasshireniye
extensive,extenso,vaste,umfangreich,extensif,shasie,gwangbeom-wihan,obshirnyy
extent,medida,limit,Ausmaß,étendue,hada,jeongdo,stepen'
external,externo,ekstèn,extern,externe,khariji,oebu,vneshniy
extra,extra,siplemantè,extra,supplémentaire,iidafiun,chugaui,dopolnitel'nyy
extraordinary,extraordinario,ekstraòdinè,außergewöhnlich,extraordinaire,nadir,giihan,neobyknovennyy
extreme,extremo,ekstrèm,extrem,extrême,aqsaa,geugsimhan,krayniy
extremely,extremadamente,ekstrèmman,äußerst,extrêmement,li'aqsaa hadin,geugdolo,ochen' sil'no
eye,ojo,je,Auge,œil,euyin,nun,glaz
fabric,tela,twal,Stoff,tissu,qumash,gujo,tkan'
face,cara,figi,Gesicht,affronter,wajah,eolgul,litso
facility,instalación,etablisman,Einrichtung,facilité,munsha'a,siseol,sredstvo
fact,hecho,reyalite,Tatsache,fait,haqiqatan,sasil,fakt
factor,factor,faktè,Faktor,facteur,eamil,yoin,faktor
factory,fábrica,faktori,Fabrik,usine,masnae,gongjang,fabrika
faculty,facultad,fakilte,Fakultät,la faculté,kuliya,hagbu,fakul'tet
fade,desteñir,fennen,verblassen,disparaître,yakhtafi,balaeda,tusknet'
fail,fallar,echwe,scheitern,échouer,yafshal,silpaehada,neudacha
failure,falla,echèk,Versagen,échec,fashal,silpae,otkaz
fair,justo,jis,gerecht,équitable,eadl,gongjeonghan,spravedlivyy
fairly,equitativamente,jistis,ziemlich,assez,tamaman,kkwae,ves'ma
faith,fe,lafwa,Glaube,foi,iiman,mid-eum,vera
fall,caer,tonbe,fallen,automne,yasqut,tteol-eojida,padat'
familiar,familiar,abitye,vertraut,familier,maluf,chinsughan,privychnyy
family,familia,fanmi,Familie,famille,eayila,gajog,sem'ya
famous,famoso,pi popilè,berühmt,célèbre,mashhur,yumyeonghan,izvestnyy
fan,admirador,fanatik,Lüfter,ventilateur,muejab,paen,ventilyator
fantasy,fantasía,fantezi,Fantasie,fantaisie,khayaliun,gongsang,fantaziya
far,lejos,byen lwen,weit,loin,bueid,meolli,daleko
farm,granja,fèm,Bauernhof,ferme,mazraea,nongjang,ferma
farmer,agricultor,kiltivatè,Bauer,fermier,mazarie,nongjangju,fermer
fashion,moda,mòd,Mode,mode,muda,paesyeon,moda
fast,rápido,vit,schnell,rapide,sarie,ppaleun,bystryy
fat,gordo,grès,fett,graisse,samin,jibang,tolstyy
fate,destino,sò,Schicksal,destin,qadar,unmyeong,sud'ba
father,padre,papa,Vater,père,ab,abeoji,otets
fault,falla,fòt,Fehler,faute,eayb,jalmos,vina
favor,favor,favè,favorisieren,service,muhabaa,houi,usluga
favorite,favorito,pi renmen,Favorit,préféré,mufadal,gajang joh-ahaneun,lyubimyy
fear,miedo,pè,Furcht,peur,yakhaf,dulyeoum,strakh
feature,característica,karakteristik,Besonderheit,fonctionnalité,miza,teugjing,osobennost'
federal,federal,federal,föderal,fédéral,alfidiralia,yeonbang,federal'nyy
fee,tarifa,frè,Gebühr,frais,masarif,yogeum,platezh
feed,alimentar,manje,füttern,alimentation,yuntem,bab-eul meog-ida,kormit'
feel,sentir,santi,fühlen,sentir,yasheur,neukkida,chuvstvovat'
feeling,sentimiento,santi,Gefühl,sentiment,iihsas,gamjeong,chuvstvo
fellow,compañero,parèy,Gefährte,compagnon,zamil,salam,paren'
female,femenino,fi,weiblich,femelle,unthaa,yeoseong,zhenskiy
fence,cerca,kloti,Zaun,clôture,sur,ultali,izgorod'
few,pocos,kèk,wenige,peu,eadad qalil,yaggan-ui,nemnogo
fewer,menos,mwens,weniger,moins,aqalu,boda jeog-eun,men'she
fiber,fibra,fib,Faser,fibre,alfaybir,seom-yu,volokno
fiction,ficción,fiksyon,Fiktion,fiction,khayaliun,soseol,vymysel
field,campo,jaden,Feld,champ,majal,pildeu,pole
fifteen,quince,kenz,fünfzehn,quinze,khamsat eashar,yeol daseos,pyatnadtsat'
fifth,quinto,senkyèm,fünfte,cinquième,alkhamis,daseos,pyatyy
fifty,cincuenta,senkant,fünfzig,cinquante,khamswun,osib,pyat'desyat
fight,luchar,goumen,kämpfen,lutte,yuearik,ssaum,drat'sya
fighter,combatiente,avyon de gè,Kämpfer,combattant,muqatil,jeontugi,boyets
fighting,lucha,goumen,Kampf,lutte,qital,hwaiting,bor'ba
figure,cifra,figi,Figur,chiffre,shakal,suchi,figura
file,archivo,dosye,Datei,déposer,milafun,pail,fayl
fill,llenar,ranpli,füllen,remplir,yamla,chaeuda,napolnyat'
film,película,fim,Film,film,film,yeonghwa,fil'm
final,final,final,Finale,final,akhir,gyeoljeongjeog-in,final'nyy
finally,finalmente,finalman,Endlich,enfin,akhyraan,majimag-eulo,okonchatel'no
finance,finanzas,finans,Finanzen,finance,tamwil,jaewon,finansy
financial,financiero,finansye,finanziell,financier,mali,jaejeongjeog-in,finansovyy
find,encontrar,jwenn,finden,trouver,yajid,chajda,nakhodit'
finding,hallazgo,jwenn,finden,découverte,aleuthur ealaa,balgyeon,nakhozhdeniye
fine,bien,byen,Bußgeld,bien,bikhayr,gwaenchanh-eun,otlichno
finger,dedo,dwèt,Finger,doigt,asbae alyad,songalag,Palets
finish,finalizar,fini,beenden,finition,yunhi,machida,zakanchivat'
fire,fuego,dife,Feuer,feu,nar,bul,ogon'
firm,firme,fèm,Firma,ferme,hazim,dandanhan,tverdyy
first,primero,premye,Erste,d'abord,awlaan,cheos beonjjae,pervyy
fish,pez,pwason,Fisch,poisson,samaka,mulgogi,ryba
fishing,pesca,lapèch,Angeln,pêche,sayd alsamak,eoeob,lovit rybu
fit,adaptar,anfòm,fit,ajuster,mulayim,majda,sootvetstvovat'
fitness,aptitud física,kondisyon fizik,Fitness,aptitude,liaqat badania,jeoghab,fitnes
five,cinco,senk,fünf,cinq,khamsa,daseos,pyat'
fix,arreglar,ranje,Fix,réparer,yuslih,gochida,ispravit'
flag,bandera,drapo,Flagge,drapeau,elam,gisbal,flag
flame,fuego,flanm dife,Flamme,flamme,lahab,bulkkoch,plamya
flat,departamento,plat,Wohnung,plat,mustawi,pyeongpyeonghan,ploskiy
flavor,sabor,gou,Geschmack,saveur,nakha,mas,vkus
flee,huir,kouri,fliehen,fuir,auhrub,seoduleuda,bezhat'
flesh,carne,vyann,Fleisch,chair,lahm,yugche,plot'
flight,vuelo,vòl,Flug,vol,rihlat jawiya,bihaeng,polet
float,flotar,flote,schweben,flotter,yatfu,tteuda,plavat'
floor,piso,etaj,Boden,sol,ardia,badag,pol
flow,fluir,koule,fließen,couler,tadafuq,heuleum,potok
flower,flor,flè,Blume,fleur,warada,kkoch,tsvetok
fly,volar,vole,Fliege,voler,yatir,pali,letat'
focus,enfocar,konsantre,Fokus,se concentrer,rakaz,jibjunghada,sosredotochit'sya
folk,gente,popilè,Volk,populaire,qawm,salamdeul,narodnyy
follow,seguir,swiv,folgen,suivre,yutabae,ttaleuda,sledovat'
following,siguiente,swivan,folgende,suivant,altaali,suhaeng-won,sleduyushchiy
food,alimento,manje,Essen,nourriture,taeam,eumsig,yeda
foot,pie,pye,Fuß,pied,qudim,bal,stupnya
football,fútbol americano,foutbòl,Fußball,football,kurat alqadam,chuggu,futbol
for,para,pou,für,pour,l,~eul wihan,dlya
force,fuerza,fòs,Gewalt,forcer,qua,him,sila
foreign,extranjero,etranje,ausländisch,étranger,ajnabiun,oegug-ui,inostrannyy
forest,bosque,forè,Wald,forêt,ghaba,sup,les
forever,para siempre,pou toutan,für immer,pour toujours,lil'abad,yeong-wonhi,navsegda
forget,olvidar,bliye,vergessen,oublier,yansaa,ijda,zabyvat'
form,forma,fòm,bilden,formulaire,aistimara,hyeongtae,forma
formal,formal,fòmèl,formell,officiel,rasmi,gongsigjeog-in,formal'nyy
formation,formación,fòmasyon,Formation,formation,tashkil,hyeongseong,formirovaniye
former,anterior,ansyen,ehemalig,ancien,sabiq,ijeon-ui,byvshiy
formula,fórmula,fòmil,Formel,formule,mueadala,gongsig,formula
forth,adelante,soti,her,en avant,iiaban,ap-eulo,vpered
fortune,fortuna,fòtin,Vermögen,fortune,haza,haeng-un,udacha
forward,adelante,pi devan,nach vorne,avant,iilaa al'amam,ap-eulo,vpered
found,encontró,jwenn,gefunden,trouvé,wajd,seollibhada,naydennyy
foundation,base,fondasyon,Stiftung,fondation,muasasa,giban,fundament
founder,fundador,fondatè,Gründer,fondateur,muasis,seollibja,osnovatel'
four,cuatro,kat,vier,quatre,arbaea,ne,chetyre
fourth,cuatro,katriyèm,vierte,quatrième,alraabie,nebeonjjae,chetvertyy
frame,marco,ankadreman,rahmen,cadre,iitar,aegja,ramka
framework,estructura,kad,Rahmen,cadre,nitaq,ppyeodae,ramki
free,gratis,gratis,frei,gratuit,hura,mulyo,besplatno
freedom,libertad,libète,Freiheit,liberté,huriya,jayu,svoboda
freeze,congelar,friz,einfrieren,geler,tajmid,kkog maedallige hada,zamorozit'
French,Francés,franse,Französisch,Français,fransiun,peulangseu gugmin,Frantsuzskiy
