English,Spanish,HC
glance,mirada,ti koutje sou
glass,vaso,vè
global,global,mondyal
glove,guante,gan
go,ir,ale
goal,meta,objektif
God,Dios,Bondye
gold,oro,lò
golden,dorado,an lò
golf,golf,gòlf
good,bien,bon
government,gobierno,gouvènman an
governor,gobernador,gouvènè
grab,agarrar,pwan
grade,calificación,klas
gradually,gradualmente,piti piti
graduate,graduado,gradye
grain,grano,grenn
grand,grandioso,gran
grandfather,abuelo,granpapa
grandmother,abuela,grann
grant,conceder,sibvansyon
grass,césped,zèb
grave,tumba,kavo
gray,gris,gri
great,excelente,gwo
greatest,mayor,pi gran
green,verde,vèt
grocery,tienda de comestibles,makèt
ground,suelo,tè
group,grupo,gwoup
grow,crecer,grandi
growing,creciente,ap grandi
growth,crecimiento,kwasans
guarantee,garantizar,garanti
guard,guardia,gad
guess,adivinar,devine
guest,invitado,envite
guide,guía,gid
guideline,guía,gid
guilty,culpable,koupab
gun,pistola,zam
guy,chico,nèg
habit,hábito,abitid
habitat,hábitat,abita
hair,cabello,cheve
half,medio,mwatye
hall,sala,sal
hand,mano,men
handful,puñado,ti ponyen
handle,manejar,manch
hang,colgar,pann
happen,suceder,rive
happy,feliz,kontan
hard,duro,difisil
hardly,difícilmente,diman
hat,sombrero,chapo
hate,odiar,rayi
have,tener,genyen
he,él,li
head,cabeza,tèt
headline,titular,tit
headquarters,sede,katye jeneral
health,salud,sante
healthy,saludable,an sante
hear,escuchar,tande
hearing,audiencia,tande
heart,corazón,kè
heat,calor,chalè
heaven,cielo,syèl la
heavily,fuertemente,lou
heavy,pesado,lou
heel,tacón,talon pye
height,altura,wotè
helicopter,helicóptero,elikoptè
hell,infierno,lanfè
hello,Hola,bonjou
help,ayuda,ede
helpful,útil,itil
her,su,li
here,aquí,isit la
heritage,herencia,eritaj
hero,héroe,ewo
herself,sí misma,li menm
hey,ey,hey
hi,Hola,alo
hide,esconder,kache
high,alto,segondè
highlight,destacar,mete aksan sou
highly,altamente,trè
highway,carretera,gran wout
hill,colina,ti mòn
him,a él,li
himself,él mismo,tèt li
hip,cadera,anch
hire,contratar,anboche
his,su,li
historian,historiador,istoryen
historic,histórico,istorik
historical,histórico,istorik
history,historia,istwa
hit,golpear,frape
hold,sostener,kenbe
hole,agujero,twou
holiday,día festivo,jou ferye
holy,santo,apa pou Bondye
home,hogar,lakay ou
homeless,sin hogar,san kay
honest,honesto,onèt
honey,Miel,siwo myèl
honor,honor,onè
hope,esperanza,espwa
horizon,horizonte,orizon
horror,horror,laterè
horse,caballo,chwal
hospital,hospital,lopital
host,anfitrión,lame
hot,caliente,cho
hotel,hotel,otèl
hour,hora,èdtan
house,casa,kay
household,familiar,kay la
housing,alojamiento,lojman
how,cómo,kijan
however,sin embargo,sepandan
huge,enorme,gwo
human,humano,moun
humor,humor,imè
hundred,centenar,santèn
hungry,hambriento,grangou
hunter,cazador,chasè
hunting,caza,lachas
hurt,herir,fè mal
husband,marido,mari
hypothesis,hipótesis,ipotèz
I,I,mwen
ice,hielo,glas
idea,idea,lide
ideal,ideal,ideyal
identification,identificación,idantifikasyon
identify,identificar,idantifye
identity,identidad,idantite
ie,es decir,sa vle di
if,si,si
ignore,ignorar,inyore
ill,enfermo,malad
illegal,ilegal,ilegal
illness,enfermedad,maladi
illustrate,ilustrar,ilistre
image,imagen,imaj
imagination,imaginación,imajinasyon
imagine,imaginar,imajine
immediate,inmediato,imedya
immediately,inmediatamente,imedyatman
immigrant,inmigrante,imigran
immigration,inmigración,imigrasyon
impact,impacto,enpak
implement,implementar,aplike
implication,implicación,enplikasyon
imply,implicar,implique
importance,importancia,enpòtans
important,importante,enpòtan
impose,imponer,enpoze
impossible,imposible,enposib
impress,impresionar,enpresyone
impression,impresión,enpresyon
impressive,impresionante,enpresyonan
improve,mejorar,amelyore
improvement,mejora,amelyorasyon
in,en,nan
incentive,incentivo,ankourajman
incident,incidente,ensidan
include,incluir,enkli
including,incluido,ki gen ladan
income,ingreso,revni
incorporate,incorporar,enkòpore
increase,aumentar,ogmante
increased,aumentó,ogmante
increasing,creciente,ogmante
increasingly,cada vez más,de pli zan pli
incredible,increíble,enkwayab
indeed,en efecto,tout bon
independence,independencia,endepandans
independent,independiente,endepandan
index,índice,endèks
Indian,indio,Endyen
indicate,indicar,endike
indication,indicación,endikasyon
individual,individual,moun
industrial,industrial,endistriyèl
industry,industria,endistri
infant,niño,tibebe
infection,infección,enfeksyon
inflation,inflación,enflasyon
influence,influencia,enfliyans
inform,informar,enfòme
information,información,enfòmasyon
ingredient,ingrediente,engredyan
initial,inicial,inisyal
initially,inicialmente,okòmansman
initiative,iniciativa,inisyativ
injury,lesión,blesi
inner,interno,enteryè
innocent,inocente,inosan
inquiry,consulta,ankèt
inside,adentro,anndan
insight,conocimiento,insight
insist,insistir,ensiste
inspire,inspirar,enspire
install,instalar,enstale
instance,instancia,egzanp
instead,en cambio,pito
institution,institución,enstitisyon
institutional,institucional,enstitisyonèl
instruction,instrucción,enstriksyon
instructor,instructor,enstriktè
instrument,instrumento,enstriman
insurance,seguro,asirans
intellectual,intelectual,entelektyèl
intelligence,inteligencia,entèlijans
intend,pretender,gen entansyon
intense,intenso,entans
intensity,intensidad,entansite
intention,intención,entansyon
interaction,interacción,entèraksyon
interest,interés,enterè
interested,interesado,enterese
interesting,interesante,enteresan
internal,interno,entèn
international,internacional,entènasyonal
Internet,Internet,Entènèt
interpret,interpretar,entèprete
interpretation,interpretación,entèpretasyon
intervention,intervención,entèvansyon
interview,entrevista,entèvyou
into,en,nan
introduce,introducir,prezante
introduction,introducción,entwodiksyon
invasion,invasión,envazyon
invest,invertir,envesti
investigate,investigar,envestige
investigation,investigación,ankèt
investigator,investigador,envestigatè
investment,inversión,envestisman
investor,inversor,envestisè
invite,invitar,envite
involve,involucrar,enplike
involved,involucrado,patisipe
involvement,intervención,patisipasyon
Iraqi,iraquí,Irakyen
Irish,irlandesa,Ilandè
iron,hierro,fè
Islamic,islámico,Islamik
island,isla,zile
Israeli,israelí,Izrayelyen
issue,asunto,problèm
it,él,li
Italian,italiano,Italyen
item,artículo,atik
its,es,li
itself,sí mismo,tèt li
jacket,chaqueta,jakèt
jail,celda,prizon
Japanese,japonés,Japonè
jet,chorro,avyon
Jew,judío,jwif
Jewish,judío,jwif
job,trabajo,travay
join,unirse,rantre nan
joint,articulación,jwenti
joke,broma,blag
journal,diario,jounal
journalist,periodista,jounalis
journey,viaje,vwayaj
joy,alegría,kè kontan
judge,juez,jij
judgment,juicio,jijman
juice,jugo,ji
jump,saltar,sote
junior,júnior,jinyò
jury,jurado,jiri
just,justo,jis
justice,justicia,jistis
justify,justificar,jistifye
keep,mantener,kenbe
key,llave,kle
kick,patada,kout pye
kid,niño,timoun
kill,matar,touye
killer,asesino,asasen
killing,asesinato,touye
kind,amable,jantiyès
king,rey,wa
kiss,beso,bo
kitchen,cocina,kwizin
knee,rodilla,jenou
knife,cuchillo,kouto
knock,golpear,frape
know,saber,konnen
knowledge,conocimiento,konesans
lab,laboratorio,laboratwa
label,etiqueta,etikèt
labor,mano de obra,travay
laboratory,laboratorio,laboratwa
lack,falta,mank
lady,dama,dam
lake,lago,lak
land,tierra,peyi
landscape,paisaje,jaden flè
language,idioma,lang
lap,regazo,janm
large,grande,gwo
largely,en gran parte,lajman
last,último,dènye
late,tarde,an reta
later,más tarde,pita
Latin,latín,Latin
latter,último,lèt
laugh,reír,ri
launch,lanzamiento,lanse
law,ley,lalwa
lawn,césped,gazon
lawsuit,demanda judicial,pwosè
lawyer,abogado,avoka
lay,poner,kouche
layer,capa,kouch
lead,dirigir,plon
leader,líder,lidè
leadership,liderazgo,lidèchip
leading,principal,dirijan
leaf,hoja,fèy
league,liga,lig
lean,inclinarse,mèg
learn,aprender,aprann
learning,aprendiendo,aprantisaj
least,el menos,pi piti
leather,cuero,kwi
leave,dejar,kite
left,izquierda,kite
leg,pierna,janm
legacy,legado,eritaj
legal,legal,legal
legend,leyenda,lejand
legislation,legislación,lejislasyon
legitimate,legítimo,lejitim
lemon,limón,sitwon
length,longitud,longè
less,menos,mwens
lesson,lección,leson
let,dejar,kite
letter,carta,lèt
level,nivel,nivo
liberal,liberal,liberal
library,biblioteca,bibliyotèk
license,licencia,lisans
lie,mentir,bay manti
life,vida,lavi
lifestyle,estilo de vida,fòm
lifetime,toda la vida,pou tout lavi
lift,elevar,leve
light,luz,limyè
like,como,tankou
likely,probable,gen anpil chans
limit,límite,limit
limitation,limitación,limitasyon
limited,limitado,limite
line,línea,liy
link,enlace,lyen
lip,labio,lèv
list,lista,lis
listen,escuchar,koute
literally,literalmente,literalman
literary,literario,literè
literature,literatura,literati
little,pequeño,ti kras
live,vivir,viv
living,viviendo,k ap viv
load,carga,chaj
loan,préstamo,prè
local,local,lokal
locate,localizar,lokalize
location,ubicación,kote
lock,cerrar,fèmen
long,largo,lontan
long-term,a largo plazo,alontèm
look,mirar,gade
loose,perder,ki lach
lose,perder,pèdi
loss,pérdida,pèt
lost,perdido,pèdi
lot,lote,lot
lots,lotes,anpil
loud,alto,byen fò
love,amar,renmen
lovely,hermoso,bèl
lover,amante,lover
low,bajo,ba
lower,más bajo,pi ba
luck,suerte,chans
lucky,afortunado,chans
lunch,almuerzo,manje midi
lung,pulmón,poumon
machine,máquina,machin
mad,enojado,fache
magazine,revista,magazin
mail,correo,lapòs
main,principal,prensipal
mainly,principalmente,sitou
maintain,mantener,kenbe
maintenance,mantenimiento,antretyen
major,importante,pi gwo
majority,mayoría,majorite
make,hacer,fè
maker,fabricante,maker
makeup,constituir,Makiyaj
male,masculino,gason
mall,centro comercial,sant komèsyal
man,hombre,nonm
manage,administrar,jere
management,gestión,jesyon
manager,gerente,manadjè
manner,manera,fason
manufacturer,fabricante,manifakti
manufacturing,fabricación,manifakti
many,muchos,anpil
map,mapa,kat jeyografik
margin,margen,maj
mark,marca,make
market,mercado,mache
marketing,marketing,maketing
marriage,casamiento,maryaj
married,casado,marye
marry,casar,marye
mask,mascarilla,mask
mass,masa,mas
massive,masivo,masiv
master,maestro,mèt
match,fósforo,match
material,material,materyèl
math,matemáticas,matematik
matter,asunto,matyè
may,puede,me
maybe,tal vez,petèt
mayor,alcalde,majistra
me,a mí,mwen
meal,comida,repa
mean,significar,vle di
meaning,significado,siyifikasyon
meanwhile,mientras tanto,pandan se tan
measure,medida,mezi
measurement,medición,mezi
meat,carne,vyann
mechanism,mecanismo,mekanis
media,medios de comunicación,medya
medical,médico,medikal
medication,medicamento,medikaman
medicine,medicamento,remèd
medium,medio,mwayen
meet,encontrarse,rankontre
meeting,reunión,reyinyon
member,miembro,manm
membership,afiliación,manm
memory,memoria,memwa
mental,mental,mantal
mention,mencionar,mansyone
menu,menú,meni
mere,mero,sèlman
merely,meramente,senpleman
mess,desorden,dezòd
message,mensaje,mesaj
metal,metal,metal
meter,metro,mèt
method,método,metòd
Mexican,mexicano,Meksiken
middle,medio,mitan
might,podría,ta ka
military,militar,militè
milk,leche,lèt
million,millón,milyon
mind,mente,lespri
mine,mío,mwen
minister,ministro,minis
minor,menor,minè
minority,minoría,minorite
minute,minuto,minit
miracle,milagro,mirak
mirror,espejo,glas
miss,extrañar,madmwazèl
missile,misil,misil
mission,misión,misyon
mistake,error,erè
mix,mezcla,melanje
mixture,mezcla,melanj
mm-hmm,mm-hmm,mm-hmm
mode,modo,mòd
model,modelo,modèl
moderate,moderado,modere
modern,moderno,modèn
modest,modesto,modès
mom,mamá,manman
moment,momento,moman
money,dinero,lajan
monitor,monitor,kontwole
month,mes,mwa
mood,ánimo,atitid
moon,luna,lalin
moral,moral,moral
more,más,plis
moreover,además,anplis
morning,mañana,maten
mortgage,hipoteca,ipotèk
most,mayoría,pi fò
mostly,principalmente,sitou
mother,madre,manman
motion,movimiento,mouvman
motivation,motivación,motivasyon
motor,motor,motè
mount,montar,mòn
mountain,montaña,montay
mouse,ratón,sourit
mouth,boca,bouch
move,mover,deplase
movement,movimiento,mouvman
movie,película,fim
Mr,Señor,mesye
Mrs,Señora,Madam
Ms,EM,Ms
much,mucho,anpil
multiple,múltiple,miltip
murder,asesinato,touye moun
muscle,músculo,misk
museum,museo,mize
music,música,Mizik
musical,musical,mizikal
musician,músico,mizisyen
Muslim,musulmán,Mizilman
must,debe,dwe
mutual,mutual,mityèl
my,mi,mwen
myself,mí mismo,tèt mwen
mystery,misterio,mistè
myth,mito,mit
naked,desnudo,toutouni
name,nombre,non
narrative,narrativo,naratif
narrow,angosto,etwat
nation,nación,nasyon
national,nacional,nasyonal
native,nativo,natif natal
natural,natural,natirèl
naturally,naturalmente,natirèlman
nature,naturaleza,lanati
near,cerca,tou pre
nearby,cercano,tou pre
nearly,cerca de,preske
necessarily,necesariamente,nesesèman
necessary,necesario,nesesè
neck,cuello,kou
need,necesidad,bezwen
negative,negativo,negatif
negotiate,negociar,negosye
negotiation,negociación,negosyasyon
neighbor,vecino,vwazen
neighborhood,vecindario,katye
neither,ni,ni
nerve,nervio,nè
nervous,nervioso,nève
net,neto,nèt
network,red,rezo
never,nunca,pa janm
nevertheless,sin embargo,kanmenm
new,nuevo,nouvo
newly,recién,fèk
news,noticias,nouvèl
newspaper,periódico,jounal
next,próximo,pwochen
nice,lindo,bèl
night,noche,lannwit
nine,nueve,nèf
no,No,non
nobody,nadie,pèsonn
nod,asentir,souke tèt
noise,ruido,bri
nomination,nominación,nominasyon
none,ninguno,okenn
nonetheless,sin embargo,kanmenm
nor,ni,ni
normal,normal,nòmal
normally,normalmente,nòmalman
north,norte,nò
northern,del Norte,nò
nose,nariz,nen
not,no,pa
note,nota,Remak
nothing,nada,anyen
notice,aviso,avi
notion,noción,nosyon
novel,novedoso,roman
now,ahora,kounye a
nowhere,en ningún lugar,okenn kote
n't,Nuevo Testamento,pa
nuclear,nuclear,nikleyè
number,número,nimewo
numerous,numeroso,anpil
nurse,enfermero,enfimyè
nut,tuerca,nwa
object,objeto,objè
objective,objetivo,objektif
obligation,obligación,obligasyon
observation,observación,obsèvasyon
observe,observar,obsève
observer,observador,obsèvatè
obtain,obtener,jwenn
obvious,obvio,evidan
obviously,obviamente,evidamman
occasion,ocasión,okazyon
occasionally,ocasionalmente,detanzantan
occupation,ocupación,okipasyon
occupy,ocupar,okipe
occur,ocurrir,rive
ocean,océano,oseyan
odd,extraño,enpè
odds,impares,chans
of,de,nan
off,apagado,koupe
offense,ofensa,ofans
offensive,ofensivo,ofansif
offer,oferta,ofri
office,oficina,biwo
officer,oficial,ofisye
official,oficial,ofisyèl
often,a menudo,souvan
oh,Vaya,oh
oil,aceite,lwil oliv
ok,OK,ok
okay,bueno,Dakò
old,viejo,fin vye granmoun
Olympic,olímpico,Olympic
on,en,sou
once,una vez,yon fwa
one,uno,youn
ongoing,en curso,kontinyèl
onion,cebolla,zonyon
online,en línea,sou entènèt
only,solo,sèlman
onto,sobre,sou
open,abierto,louvri
opening,apertura,ouvèti
operate,funcionar,opere
operating,operando,opere
operation,operación,operasyon
operator,operador,operatè
opinion,opinión,opinyon
opponent,adversario,advèsè
opportunity,oportunidad,opòtinite
oppose,oponerse a,opoze
opposite,opuesto,kontrè
opposition,oposición,opozisyon
option,opción,opsyon
or,o,oswa
orange,naranja,zoranj
order,orden,lòd
ordinary,común,òdinè
organic,orgánico,òganik
organization,organización,òganizasyon
organize,organizar,òganize
orientation,orientación,oryantasyon
origin,origen,orijin
original,original,orijinal
originally,originalmente,orijinèlman
other,otro,lòt
others,otros,lòt moun
otherwise,de lo contrario,otreman
ought,debería,dwe
our,nuestro,nou
ourselves,nosotros mismos,tèt nou
out,afuera,soti
outcome,resultado,rezilta
outside,afuera,deyò
oven,horno,fou
over,encima,sou
overall,en general,an jeneral
overcome,superar,simonte
overlook,pasar por alto,neglije
owe,deber,dwe
own,propio,pwòp
owner,dueño,pwopriyetè
pace,paso,vitès
pack,embalar,pake
package,paquete,pake
page,página,paj
pain,dolor,doulè
painful,doloroso,douloure
paint,pintar,penti
painter,pintor,pent
painting,cuadro,penti
pair,par,pè
pale,pálido,pal
Palestinian,palestino,Palestinyen
palm,palmera,palmis
pan,cacerola,chodyè
panel,panel,panèl
pant,pantalón,pantalon
paper,papel,papye
parent,padre,paran
park,parque,pak
parking,estacionamiento,pakin
part,parte,pati
participant,partícipe,patisipan
participate,participar,patisipe
participation,participación,patisipasyon
particular,particular,patikilye
particularly,particularmente,patikilyèman
partly,parcialmente,an pati
partner,pareja,patnè
partnership,camaradería,patenarya
party,fiesta,pati
pass,aprobar,pase
passage,paso,pasaj
passenger,pasajero,pasaje
passion,pasión,pasyon
past,pasado,sot pase
patch,parche,plak
path,camino,chemen
patient,paciente,pasyan
pattern,patrón,modèl
pause,pausa,pran yon poz
pay,pagar,peye
payment,pago,peman
PC,ordenador personal,PC
peace,paz,lapè
peak,cima,pik
peer,par,kanmarad
penalty,multa,penalite
people,gente,moun
pepper,pimienta,pwav
per,por,pou chak
perceive,percibir,wè
percentage,porcentaje,pousantaj
perception,percepción,pèsepsyon
perfect,perfecto,pafè
perfectly,perfectamente,parfe
perform,llevar a cabo,fè
performance,actuación,pèfòmans
perhaps,tal vez,petèt
period,período,peryòd
permanent,permanente,pèmanan
permission,permiso,pèmisyon
permit,permiso,pèmi
person,persona,moun
personal,personal,pèsonèl
personality,personalidad,pèsonalite
personally,personalmente,pèsonèlman
personnel,personal,pèsonèl
perspective,perspectiva,pèspektiv
persuade,persuadir,konvenk
pet,mascota,bèt kay
phase,fase,faz
phenomenon,fenómeno,fenomèn
philosophy,filosofía,filozofi
phone,teléfono,telefòn
photo,foto,foto
photograph,fotografía,foto
photographer,fotógrafo,fotograf
phrase,frase,fraz
physical,físico,fizik
physically,físicamente,fizikman
physician,médico,doktè
piano,piano,pyano
pick,elegir,chwazi
picture,imagen,foto
pie,tarta,tat
piece,pedazo,moso
pile,montón,pil
pilot,piloto,pilòt
pine,pino,pine
pink,rosa,woz
pipe,tubo,tiyo
pitch,paso,anplasman
place,lugar,kote
plan,plan,plan
plane,avión,avyon
planet,planeta,planèt
planning,planificación,planifikasyon
plant,planta,plant
plastic,el plastico,plastik
plate,lámina,plak
platform,plataforma,platfòm
play,jugar,jwe
player,jugador,jwè
please,por favor,tanpri
pleasure,placer,plezi
plenty,infinidad,anpil
plot,trama,trase
plus,más,plis
PM,PM,PM
pocket,bolsillo,pòch
poem,poema,powèm
poet,poeta,powèt
poetry,poesía,pwezi
point,punto,pwen
pole,polo,poto
police,policía,lapolis
policy,política,politik
political,político,politik
politically,políticamente,politikman
politician,político,politisyen
politics,política,politik
poll,encuesta,biwo vòt
pollution,contaminación,polisyon
pool,piscina,pisin
poor,pobre,pòv
pop,estallido,pòp
popular,popular,popilè
population,población,popilasyon an
porch,porche,galri
port,puerto,pò
portion,parte,pòsyon
portrait,retrato,pòtrè
portray,retratar,montre
pose,pose,poze
position,posición,pozisyon
positive,positivo,pozitif
possess,poseer,posede
possibility,posibilidad,posibilite
possible,posible,posib
possibly,posiblemente,pètèt
post,correo,poste
pot,maceta,po
potato,papa,pòmdetè
potential,potencial,potansyèl
potentially,potencialmente,potansyèlman
pound,libra,liv
pour,verter,vide
poverty,pobreza,povrete
powder,polvo,poud
power,fuerza,pouvwa
powerful,poderoso,pwisan
practical,práctico,pratik
practice,práctica,pratik
pray,orar,lapriyè
prayer,oración,lapriyè
precisely,precisamente,jisteman
predict,predecir,predi
prefer,preferir,prefere
preference,preferencia,preferans
pregnancy,el embarazo,gwosès
pregnant,embarazada,ansent
preparation,preparación,preparasyon
prepare,preparar,prepare
prescription,prescripción,preskripsyon
presence,presencia,prezans
present,presente,prezan
presentation,presentación,prezantasyon
preserve,preservar,prezève
president,presidente,prezidan
presidential,presidencial,prezidansyèl
press,prensa,peze
pressure,presión,presyon
pretend,pretender,pran pòz
pretty,bonito,bèl
prevent,prevenir,anpeche
previous,anterior,anvan
previously,previamente,deja
price,precio,pri
pride,orgullo,fyète
priest,sacerdote,prèt
primarily,ante todo,prensipalman
primary,primario,prensipal
prime,principal,premye
principal,principal,direktè lekòl la
principle,principio,prensip
print,imprimir,enprime
prior,previo,anvan
priority,prioridad,priyorite
prison,prisión,prizon
prisoner,prisionero,prizonye
privacy,privacidad,vi prive
private,privado,prive
probably,probablemente,pwobableman
problem,problema,pwoblèm
procedure,procedimiento,pwosedi
proceed,proceder,kontinye
process,proceso,pwosesis
produce,producir,pwodui
producer,productor,pwodiktè
product,producto,pwodwi
production,producción,pwodiksyon
profession,profesión,pwofesyon
professional,profesional,pwofesyonèl
professor,profesor,pwofesè
profile,perfil,pwofil
profit,ganancia,pwofi
program,programa,pwogram
progress,progreso,pwogrè
project,proyecto,pwojè
prominent,prominente,enpòtan
promise,promesa,pwomès
promote,promover,ankouraje
prompt,inmediato,rapid
proof,prueba,prèv
proper,adecuado,apwopriye
properly,adecuadamente,byen
property,propiedad,pwopriyete
proportion,proporción,pwopòsyon
proposal,propuesta,pwopozisyon
propose,proponer,pwopoze
proposed,propuesto,pwopoze
prosecutor,fiscal,pwosekitè
prospect,prospecto,pwospè
protect,proteger,pwoteje
protection,proteccion,pwoteksyon
protein,proteína,pwoteyin
protest,protesta,pwotestasyon
proud,orgulloso,fyè
prove,probar,pwouve
provide,proporcionar,bay
provider,proveedor,founisè
province,provincia,pwovens
provision,disposición,pwovizyon
psychological,psicológico,sikolojik
psychologist,psicólogo,sikològ
psychology,psicología,sikoloji
public,público,piblik
publication,publicación,piblikasyon
publicly,en público,piblikman
publish,publicar,pibliye
publisher,editor,Piblikatè
pull,jalar,rale
punishment,castigo,pinisyon
purchase,compra,achte
pure,puro,pi bon kalite
purpose,objetivo,objektif
pursue,buscar,pouswiv
push,empujar,pouse
put,poner,mete
qualify,calificar,kalifye
quality,calidad,bon jan kalite
quarter,cuarto,trimès
quarterback,jugador de ataque,quarterback
question,pregunta,kesyon
quick,rápido,rapid
quickly,rápidamente,byen vit
quiet,tranquilo,trankil
quietly,en silencio,dousman
quit,abandonar,kite
quite,bastante,byen
quote,cita,quote
race,carrera,ras
racial,racial,rasyal
radical,radical,radikal
radio,radio,radyo
rail,carril,ray
rain,lluvia,lapli
raise,aumentar,leve
range,rango,ranje
rank,rango,ran
rapid,rápido,rapid
rapidly,rápidamente,rapidman
rare,extraño,ra
rarely,casi nunca,raman
rate,tasa,to
rather,bastante,pito
rating,clasificación,evalyasyon
ratio,relación,rapò
raw,crudo,kri
reach,alcanzar,rive
react,reaccionar,reyaji
reaction,reacción,reyaksyon
read,leer,li
reader,lector,lektè
reading,lectura,lekti
ready,listo,pare
real,real,reyèl
reality,realidad,reyalite
realize,darse cuenta,reyalize
really,en realidad,vrèman
reason,razón,rezon
reasonable,razonable,rezonab
recall,recordar,sonje
receive,recibir,resevwa
recent,reciente,resan
recently,recientemente,dènyèman
recipe,receta,resèt
recognition,reconocimiento,rekonesans
recognize,reconocer,rekonèt
recommend,recomendar,rekòmande
recommendation,recomendación,rekòmandasyon
record,registro,dosye
recording,grabación,anrejistreman
recover,recuperar,refè
recovery,recuperación,rekiperasyon
recruit,recluta,rekrite
red,rojo,wouj
reduce,reducir,diminye
reduction,reducción,rediksyon
refer,referirse,refere
reference,referencia,referans
reflect,reflejar,reflete
reflection,reflexión,refleksyon
reform,reforma,refòm
refugee,refugiado,refijye
refuse,rechazar,refize
regard,respecto,konsiderasyon
regarding,acerca de,konsènan
regardless,a pesar de todo,kèlkeswa
regime,régimen,rejim
region,región,rejyon an
regional,regional,rejyonal yo
register,registro,enskri
regular,regular,regilye
regularly,regularmente,regilyèman
regulate,regular,reglemante
regulation,regulación,regilasyon
reinforce,reforzarse,ranfòse
reject,rechazar,rejte
relate,relatar,gen rapò
relation,relación,relasyon
relationship,relación,relasyon
relative,relativo,relatif
relatively,relativamente,relativman
relax,relajarse,detann
release,liberar,lage
relevant,importante,ki enpòtan
relief,alivio,soulajman
religion,religión,relijyon
religious,religioso,relijye
rely,confiar,konte
remain,permanecer,rete
remaining,restante,rete
remarkable,notable,remakab
remember,recordar,sonje
remind,recordar,raple
remote,remoto,aleka
remove,eliminar,retire
repeat,repetir,repete
repeatedly,repetidamente,repete
replace,reemplazar,ranplase
reply,responder,reponn
report,informe,rapò
reporter,reportero,repòtè
represent,representar,reprezante
representation,representación,reprezantasyon
representative,representante,reprezantan
Republican,Republicano,Repibliken
reputation,reputación,repitasyon
request,pedido,demann
require,requerir,mande
requirement,requisito,egzijans
research,investigación,rechèch
researcher,investigador,chèchè
resemble,parecerse,sanble
reservation,reserva,rezèvasyon
resident,residente,rezidan
resist,resistir,reziste
resistance,resistencia,rezistans
resolution,resolución,rezolisyon
resolve,resolver,rezoud
resort,complejo,resort
resource,recurso,resous
respect,respeto,respè
respond,responder,reponn
respondent,demandado,repondan
response,respuesta,repons
responsibility,responsabilidad,responsablite
responsible,responsable,responsab
rest,descansar,repoze
restaurant,restaurante,restoran
restore,restaurar,restore
restriction,restricción,restriksyon
result,resultado,rezilta
retain,retener,kenbe
retire,jubilarse,pran retrèt ou
retirement,Jubilación,retrèt
return,devolver,retounen
reveal,revelar,revele
revenue,ganancia,revni
review,revisar,revize
revolution,revolución,revolisyon
rhythm,ritmo,ritm
rice,arroz,diri
rich,rico,rich
rid,deshacerse,debarase m
ride,conducir,woulib
rifle,rifle,fizi
right,bien,dwa
ring,anillo,bag
rise,elevar,leve
risk,riesgo,risk
river,río,rivyè
road,camino,wout
rock,roca,wòch
role,role,wòl
roll,rollo,woule
romantic,romántico,amoure
roof,techo,do kay
room,habitación,chanm
root,raíz,rasin
rope,soga,kòd
rose,rosa,woz
rough,bruto,ki graj
roughly,apenas,apeprè
round,redondo,wonn
route,ruta,wout
routine,rutina,woutin
row,fila,ranje
rub,frotar,fwote
rule,regla,règ
run,correr,kouri
running,correr,kouri
rural,rural,riral yo
rush,correr,prese
Russian,ruso,Ris
sacred,sagrado,sakre
sad,triste,tris
safe,seguro,san danje
safety,seguridad,sekirite
sake,beneficio,poutèt
salad,ensalada,sòs salad
salary,salario,salè
sale,venta,vann
sales,ventas,lavant
salt,sal,sèl
same,mismo,menm
sample,muestra,echantiyon
sanction,sanción,sanksyon
sand,arena,sab
satellite,satélite,satelit
satisfaction,satisfacción,satisfaksyon
satisfy,satisfacer,satisfè
sauce,salsa,sòs
save,ahorrar,sove
saving,ahorro,ekonomize
say,decir,di
scale,escala,echèl
scandal,escándalo,eskandal
scared,asustado,pè
scenario,guión,senaryo
scene,escena,sèn
schedule,cronograma,orè
scheme,esquema,konplo
scholar,erudito,savan
scholarship,beca,bousdetid
school,escuela,lekòl
science,ciencia,Syans
scientific,científico,syantifik
scientist,científico,syantis
scope,alcance,dimansyon
score,puntaje,nòt
scream,gritar,rèl
screen,pantalla,ekran
script,guion,script
sea,mar,lanmè
search,buscar,rechèch
season,estación,sezon
seat,asiento,chèz
second,segundo,dezyèm
secret,secreto,sekrè
secretary,secretario,sekretè
section,sección,seksyon
sector,sector,sektè
secure,seguro,an sekirite
security,seguridad,sekirite
see,ver,wè
seed,semilla,grenn
seek,buscar,chache
seem,parecer,sanble
segment,segmento,segman
seize,aprovechar,sezi
select,seleccionar,chwazi
selection,selección,seleksyon
self,ser,pwòp tèt ou
sell,vender,vann
Senate,Senado,Sena
senator,senador,senatè
send,enviar,voye
senior,sénior,granmoun aje
sense,sentido,sans
sensitive,sensible,sansib
sentence,oración,fraz
separate,separado,separe
sequence,secuencia,sekans
series,serie,seri
serious,grave,serye
seriously,en serio,seryezman
serve,atender,sèvi
service,servicio,sèvis
session,sesión,sesyon
set,colocar,mete
setting,configuración,anviwònman
settle,asentarse,regle
settlement,asentamiento,règleman
seven,Siete,sèt
several,varios,plizyè
severe,severo,grav
sex,sexo,sèks
sexual,sexual,seksyèl
